UNIX,Hour,Minute,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17
1630632728,1,32,18.31,34.75,34.31,12.44,34.06,28.81,34.31,34.38,13.63,26.44,31.50,33.56,34.81,31.25,35.19,35.19,34.00
1630632786,1,33,18.25,34.56,34.00,12.44,33.94,28.87,34.31,33.56,13.63,26.50,31.50,33.56,34.88,31.25,35.19,35.19,34.00
1630632843,1,34,18.31,34.75,34.56,12.44,33.94,28.94,34.44,34.44,13.63,26.44,31.50,33.69,34.81,31.31,35.19,35.25,34.06
1630632901,1,35,18.31,34.63,34.63,12.44,33.81,29.00,34.19,34.56,13.63,26.37,31.50,33.63,34.81,31.31,35.19,35.31,34.06
1630632999,1,36,18.56,34.63,34.38,12.38,33.88,28.94,34.31,34.63,13.56,26.25,31.50,33.81,34.94,31.37,35.19,35.31,34.06
1630633057,1,37,18.37,34.81,34.38,12.38,33.94,28.94,34.31,34.50,13.56,26.31,31.50,33.94,34.88,31.19,35.25,35.25,34.06
1630633115,1,38,18.37,34.88,34.50,12.38,33.88,28.81,34.25,34.56,13.56,26.37,31.50,33.69,34.94,31.12,35.13,35.25,34.06
1630633172,1,39,18.31,34.50,34.44,12.38,33.94,28.75,34.31,34.56,13.50,26.37,31.50,33.75,34.88,31.12,35.06,35.19,34.00
1630633230,1,40,18.31,34.38,34.44,12.38,34.00,28.69,34.50,34.56,13.50,26.37,31.50,33.75,34.94,31.06,35.13,35.25,33.94
1630633288,1,41,18.37,34.69,34.44,12.38,33.94,28.69,34.56,34.38,13.50,26.31,31.50,33.81,35.00,30.94,35.19,35.31,33.94
1630633346,1,42,18.37,34.50,34.19,12.31,33.75,28.62,34.63,33.88,13.44,26.31,31.50,33.69,35.00,31.06,35.19,35.31,33.94
1630633404,1,43,18.31,34.50,34.00,12.31,33.69,28.62,34.44,33.69,13.44,26.25,31.50,33.75,35.00,31.19,35.13,35.31,34.00
1630633462,1,44,18.31,34.44,34.00,12.31,33.69,28.69,34.25,34.31,13.44,26.31,31.00,33.81,35.00,31.37,35.13,35.25,34.00
1630633519,1,45,18.31,34.50,33.88,12.31,33.75,28.69,34.38,34.50,13.44,26.44,31.00,33.75,35.06,31.50,35.13,35.13,34.00
1630633577,1,46,18.25,34.81,33.94,12.31,33.69,28.87,34.50,34.25,13.44,26.50,31.50,33.69,35.00,31.44,35.13,35.00,34.00
1630633635,1,47,18.25,34.81,33.94,12.31,33.75,28.75,34.44,34.13,13.44,26.44,31.50,33.63,35.00,31.31,35.06,35.13,34.00
1630633693,1,48,18.31,34.56,33.56,12.25,33.81,28.75,34.44,34.19,13.44,26.50,31.50,33.94,34.94,31.37,35.00,35.25,33.94
1630633751,1,49,18.31,34.44,34.00,12.31,33.88,28.81,34.56,34.56,13.38,26.50,31.50,33.75,35.00,31.50,35.06,35.25,33.94
1630633808,1,50,18.25,34.25,34.50,12.31,33.94,28.87,34.50,34.63,13.38,26.50,31.00,33.88,35.06,31.56,35.06,35.19,34.00
1630633866,1,51,18.25,34.44,34.13,12.25,34.00,28.94,34.38,34.63,13.31,26.50,31.00,33.94,34.94,31.19,35.06,35.25,34.00
1630633924,1,52,18.19,34.50,34.31,12.19,34.00,28.75,34.38,34.63,13.44,26.56,31.50,33.94,34.81,31.12,35.06,35.13,33.94
1630633982,1,53,18.19,34.63,34.31,12.25,33.94,28.75,34.38,34.75,13.38,26.69,31.00,33.94,34.94,30.94,35.19,35.06,33.94
1630634040,1,54,18.25,34.75,34.44,12.25,33.94,28.69,34.44,34.75,13.31,26.56,31.00,33.88,34.94,30.87,35.13,35.13,34.00
1630634138,1,55,18.12,34.75,33.94,12.19,34.00,28.75,34.31,34.63,13.25,26.56,31.00,33.63,34.94,31.12,35.06,35.25,34.06
1630634195,1,56,18.25,34.81,34.13,12.19,34.00,28.81,34.38,34.63,13.25,26.44,31.50,33.75,35.00,31.19,35.06,35.38,34.06
1630634253,1,57,18.19,34.69,34.25,12.19,34.00,28.81,34.50,34.38,13.25,26.50,31.50,33.63,35.06,30.87,35.13,35.19,34.06
1630634311,1,58,18.25,34.69,34.50,12.19,34.06,28.87,34.44,34.50,13.25,26.44,31.50,33.50,34.94,30.87,35.06,35.19,34.00
1630634369,1,59,18.12,34.75,34.69,12.19,34.00,28.69,34.44,34.38,13.25,26.44,31.50,33.63,34.81,31.00,35.06,35.25,34.00
1630634427,2,0,18.19,34.94,34.75,12.25,34.00,28.69,34.25,34.13,13.19,26.44,31.50,33.63,34.81,31.06,35.06,35.19,34.06
1630634485,2,1,18.19,34.94,34.69,12.31,34.06,28.69,34.31,34.19,13.19,26.31,31.50,33.56,34.88,31.25,35.06,35.25,34.00
1630634542,2,2,18.19,34.94,34.63,12.31,34.00,28.75,34.44,33.88,13.19,26.37,31.50,33.63,34.81,31.31,35.00,35.38,33.94
1630634600,2,3,18.06,34.88,34.81,12.31,34.06,28.75,34.44,33.75,13.19,26.31,31.00,33.69,34.81,31.19,35.00,35.31,33.94
1630634658,2,4,18.06,34.94,34.81,12.25,34.06,28.62,34.50,34.25,13.13,26.50,31.00,33.88,34.81,31.12,35.13,35.38,34.00
1630634716,2,5,18.06,34.88,34.75,12.19,34.00,28.62,34.50,34.31,13.13,26.44,31.00,33.88,34.81,31.31,35.19,35.25,34.00
1630634774,2,6,18.06,34.88,34.69,12.19,34.00,28.75,34.19,34.38,13.13,26.56,31.00,34.06,34.88,31.19,35.25,35.25,34.00
1630634831,2,7,18.25,34.81,34.63,12.19,33.94,29.00,34.38,34.31,13.13,26.56,31.00,33.94,34.88,31.25,35.25,35.25,33.88
1630634889,2,8,18.06,34.81,34.75,12.13,33.94,29.06,34.38,34.50,13.06,26.50,31.00,33.94,34.88,31.31,35.25,35.19,34.00
1630634947,2,9,18.19,34.75,34.63,12.13,34.00,29.12,34.44,34.44,13.06,26.44,31.00,34.00,34.94,31.31,35.31,35.13,34.00
1630635005,2,10,18.12,34.63,34.31,12.06,34.00,29.00,34.31,34.38,13.06,26.44,31.00,34.00,34.94,31.37,35.19,35.25,33.94
1630635063,2,11,18.00,34.69,34.69,12.06,34.00,28.75,34.50,34.50,13.06,26.44,31.00,33.81,35.00,31.25,35.19,35.25,33.88
1630635121,2,12,18.06,34.81,34.56,12.06,33.94,28.81,34.31,34.31,13.00,26.37,31.00,33.75,35.06,31.31,35.19,35.25,33.94
1630635218,2,13,18.00,35.00,34.69,12.06,34.00,28.87,34.13,34.06,13.00,26.37,31.00,33.88,34.88,31.62,35.19,35.19,33.94
1630635276,2,14,18.00,34.81,34.63,12.06,34.00,28.69,34.06,34.00,13.00,26.37,31.00,33.75,34.88,31.56,35.13,35.19,33.88
1630635334,2,15,18.00,34.75,34.56,12.06,34.00,28.81,34.13,33.94,13.00,26.37,31.00,33.69,34.94,31.37,35.19,35.19,33.75
1630635392,2,16,18.06,34.75,34.50,12.13,34.06,28.81,34.13,34.06,13.00,26.31,31.00,33.63,35.00,31.06,35.13,35.25,33.81
1630635450,2,17,17.94,34.88,34.50,12.13,34.06,28.75,34.00,34.06,12.94,26.25,31.00,33.81,35.00,31.19,35.13,35.19,33.88
